Num;alim_nom_fr;alim_nom_sci;alim_grp_code;alim_grp_nom_fr;alim_ssgrp_code;alim_ssgrp_nom_fr;alim_ssssgrp_code;alim_ssssgrp_nom_fr;Energie, Règlement UE N° 1169/2011 (kJ/100 g);Energie, Règlement UE N° 1169/2011 (kcal/100 g);Energie, N x facteur Jones, avec fibres  (kJ/100 g);Energie, N x facteur Jones, avec fibres  (kcal/100 g);Eau (g/100 g);Protéines, N x facteur de Jones (g/100 g);Protéines, N x 625 (g/100 g);Glucides (g/100 g);Lipides (g/100 g);Sucres (g/100 g);Fructose (g/100 g);Galactose (g/100 g);Glucose (g/100 g);Lactose (g/100 g);Maltose (g/100 g);Saccharose (g/100 g);Amidon (g/100 g);Fibres alimentaires (g/100 g);Polyols totaux (g/100 g);Cendres (g/100 g);Alcool (g/100 g);Acides organiques (g/100 g);AG saturés (g/100 g);AG monoinsaturés (g/100 g);AG polyinsaturés (g/100 g);AG 4:0, butyrique (g/100 g);AG 6:0, caproïque (g/100 g);AG 8:0, caprylique (g/100 g);AG 10:0, caprique (g/100 g);AG 12:0, laurique (g/100 g);AG 14:0, myristique (g/100 g);AG 16:0, palmitique (g/100 g);AG 18:0, stéarique (g/100 g);AG 18:1 9c (n-9), oléique (g/100 g);AG 18:2 9c,12c (n-6), linoléique (g/100 g);AG 18:3 c9,c12,c15 (n-3), alpha-linolénique (g/100 g);AG 20:4 5c,8c,11c,14c (n-6), arachidonique (g/100 g);AG 20:5 5c,8c,11c,14c,17c (n-3) EPA (g/100 g);AG 22:6 4c,7c,10c,13c,16c,19c (n-3) DHA (g/100 g);Cholestérol (mg/100 g);Sel chlorure de sodium (g/100 g);Calcium (mg/100 g);Chlorure (mg/100 g);Cuivre (mg/100 g);Fer (mg/100 g);Iode (µg/100 g);Magnésium (mg/100 g);Manganèse (mg/100 g);Phosphore (mg/100 g);Potassium (mg/100 g);Sélénium (µg/100 g);Sodium (mg/100 g);Zinc (mg/100 g);Rétinol (µg/100 g);Beta-Carotène (µg/100 g);Vitamine D (µg/100 g);Vitamine E (mg/100 g);Vitamine K1 (µg/100 g);Vitamine K2 (µg/100 g);Vitamine C (mg/100 g);Vitamine B1 ou Thiamine (mg/100 g);Vitamine B2 ou Riboflavine (mg/100 g);Vitamine B3 ou PP ou Niacine (mg/100 g);Vitamine B5 ou Acide pantothénique (mg/100 g)
1;Croque-monsieur, fait maison;;01;entrées et plats composés;0105;sandwichs;000000;Non spécialisable;-;-;-;-;45,1;14,3;14,3;-;18,4;-;-;-;-;-;-;-;-;-;0;2,38;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;81,7;1,71;249;875;0,08;1,32;11;21,9;-;200;189;-;686;1,34;120;-;0,15;0,55;-;-;0,02;0,2;0,16;1,55;-
2;Croque-madame;;01;entrées et plats composés;0105;sandwichs;000000;Non spécialisable;1100;264;1100;264;50,7;13,7;13,7;16,9;15,5;1,37;-;-;-;-;-;-;14,9;1,13;0;2,09;0;0;7,42;5,19;1,5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;172;1,29;200;-;0,069;1,27;16,1;19,5;0,2;189;154;10,9;515;1,1;141;69,8;0,6;0,78;-;-;0,014;0,17;0,22;1,19;0,48
3;Sandwich baguette, dinde, crudités (tomate, salade), mayonnaise;;01;entrées et plats composés;0105;sandwichs;000000;Non spécialisable;1070;255;1070;255;44,9;12,4;12,4;30,6;8,82;2,24;-;-;-;-;-;-;28,3;1,86;0;1,52;0;0;1,94;2,06;4,49;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28,5;1,1;23,3;-;0,096;0,99;13;19,8;0,3;108;174;12,9;446;0,97;1,68;111;0,05;3,14;-;-;3,11;0,07;0,083;2,19;0,43
4;Toasts ou Canapés salés, garnitures diverses, préemballés;;01;entrées et plats composés;0105;sandwichs;000000;Non spécialisable;971;233;971;233;55,1;9,09;9,09;17,8;13,3;5,75;1,6;-;2;0,4;1,6;< 0,2;11,7;2,8;0;1,94;0;0;5,94;5,31;1,43;0,11;0,09;0,081;0,22;0,36;0,92;3,43;0,73;5,31;1,26;0,17;-;-;-;57,2;1,11;153;728;0,096;1,79;7,17;23,4;0,18;181;152;3,77;445;1,38;446;41,4;0,32;0,42;-;-;1,57;0,27;0,27;3,43;0,6
5;Burger au poisson, provenant de fast food;;01;entrées et plats composés;0105;sandwichs;000000;Non spécialisable;1100;263;1100;263;46,1;12,2;12,2;26,7;11,5;3,9;1,2;-;1,3;0,2;0,7;0,4;21,8;1,5;0;1,75;0;0,24;4,92;2,87;2,99;0,22;0,15;0,09;0,19;0,23;0,73;2,37;0,75;2,58;2,96;0,03;< 0,01;< 0,01;< 0,01;26;1,1;55;645;0,06;0,49;< 20;22;0,25;140;210;< 20;440;0,59;< 21;-;0,81;2,83;9,23;-;< 0,5;0,049;< 0,01;0,63;0,33
6;Sandwich baguette, camembert, beurre;;01;entrées et plats composés;0105;sandwichs;000000;Non spécialisable;1420;339;1420;339;32,9;11,9;11,9;34,3;16,7;2,18;-;-;-;-;-;-;32,2;1,92;0;2,26;0;0;10,4;4,6;0,71;-;-;-;-;-;-;-;-;-;-;-;-;-;-;45,1;1,72;137;-;0,11;0,7;7,57;20,6;0,34;150;111;4,02;670;1,42;153;68,6;0,21;0,52;-;-;0;0,062;0,2;0,86;0,41
7;Sandwich baguette (aliment moyen);;01;entrées et plats composés;0105;sandwichs;000000;Non spécialisable;1160;277;1160;277;41,4;11,2;11,2;31,4;11,6;2,46;;;;;;;;2,38;0;2,09;0;0;4,45;3,72;2,12;;;;;;;;;;;;;;;;1,54;;;;;;;;;;;615;;;;;;;;;;;;
8;Sandwich (aliment moyen);;01;entrées et plats composés;0105;sandwichs;000000;Non spécialisable;1020;243;1020;243;46,6;14,2;14,2;27,2;8,35;;;;;;;;;1,4;0;2,3;0;0;;;;;;;;;;;;;;;;;;;1,24;97;;;1,1;;16,9;;;184;;493;1,3;;;;;;;;;;;
9;Sandwich baguette, jambon emmental, préemballé;;01;entrées et plats composés;0105;sandwichs;000000;Non spécialisable;1190;285;1190;285;41,3;13,3;13,3;26,9;13,1;2,55;< 0,3;-;0,28;-;2,25;< 0,25;-;3;0;2,42;0;0;5,3;3,58;0,77;0,28;0,17;0,12;0,2;0,24;0,81;2,47;1,01;2,88;0,52;0,12;-;-;< 0,01;-;1,58;-;-;-;-;-;-;-;-;-;-;635;-;-;-;-;-;-;-;-;-;-;-;-
10;Hamburger, provenant de fast food;;01;entrées et plats composés;0105;sandwichs;000000;Non spécialisable;1030;246;1030;246;46,1;13,3;13,3;28,3;8,44;5,95;3,19;0;2,13;0;0,63;0;20,7;1,8;0;2,12;0;0;2,82;3,64;0,55;< 0,05;< 0,05;< 0,05;0,007;0,007;0,17;1,67;0,88;3,07;0,52;0,023;-;0,00095;0;29;1,23;64;-;0,08;1,23;16,9;29,7;0,22;110;251;< 10;492;2,26;0;34;0,1;0,07;4,9;-;0,3;0,35;0,19;4,06;0,37
